word	parts
a	adj|adv|conj|det|interj|n|num|phrase|prep|pron|v
abandon	n|v
abandoned	adj|v
abandonment	n
abase	v
abash	v
abashed	adj|v
abate	adj|n|v
abbreviate	adj|n|v
abbreviation	n
abdicate	v
abdomen	n
abduct	v
aberrant	adj|n
aberration	n
abet	n|v
abeyance	n
abhor	v
abhorrent	adj
abide	v
abiding	adj|n|v
ability	n
abject	adj|n|v
abjure	v
ablaze	adj|adv
able	adj|n|v
ablution	n
abnegate	v
abnegation	n
abnormal	adj|n
aboard	adv|prep
abolish	v
abolition	n
abolitionist	adj|n
abominate	adj|v
aboriginal	adj|n
abort	n|v
abortion	n
abortive	adj|n|v
abound	v
about	adj|adv|prep|v
above	adj|adv|n|prep
aboveboard	adj
abrade	v
abrasion	n
abrasive	adj|n
abreast	adj|adv|prep
abridge	n|v
abroad	adj|adv|n|prep
abrogate	adj|v
abrupt	adj|n|v
abscission	n
abscond	v
absence	n
absent	adj|n|prep|v
absentee	n
absenteeism	n
absolute	adj|n
absolutely	adv|interj
absolve	v
absorb	v
absorbing	adj|n|v
absorption	n
abstain	v
abstemious	adj
abstention	n
abstentious	adj
abstinence	n
abstinent	adj|n
abstract	adj|n|v
abstraction	n
abstruse	adj
absurd	adj|n
abundance	n
abundant	adj
abundantly	adv
abuse	n|v
abusive	adj
abut	v
abysmal	adj
abyss	n
academic	adj|n
academician	n
academy	n
acarpous	adj
accede	v
accelerate	adj|v
accelerated	adj|v
accelerating	n|v
acceleration	n
accent	n|v
accentuate	v
accept	adj|n|v
acceptable	adj|n
acceptance	n
access	n|v
accessary	adj|n
accessibility	n
accessible	adj
accessory	adj|n
accident	adj|n
accidental	adj|n
accidentally	adv
accidents	n
acclaim	n|v
acclaimed	adj|v
acclimate	v
accolade	n|v
accommodate	adj|v
accommodating	adj|v
accommodation	n
accommodations	n
accompaniment	n
accompany	v
accompanying	adj|n|v
accomplice	n
accomplish	v
accomplished	adj|v
accomplishment	n
accord	n|v
accordance	n
accordingly	adv
accordion	n|v
accost	n|v
account	n|v
account for	v
accountability	n
accountant	adj|n
accountants	n
accounting	n|v
accredit	v
accrete	adj|v
accretion	n
accrue	n|v
accumulate	adj|v
accumulation	n
accuracy	n
accurate	adj
accusation	n
accuse	n|v
accuser	n
accustom	n|v
accustomed	adj|v
acerbic	adj
acerbity	n
ache	n|v
achieve	v
achievement	n
achromatic	adj
acid	adj|n
acidic	adj
acidity	n
acknowledge	v
acme	n
acolyte	n
acorn	n
acoustic	adj|n
acoustical	adj
acquaint	adj|v
acquaintance	n
acquainted	adj|v
acquiesce	v
acquire	v
acquired	adj|v
acquisition	n
acquisitive	adj
acquit	v
acquittal	n
acre	n
acrid	adj
acrimonious	adj
acrimony	n
acrobat	n|v
acronym	n|v
acrophobia	n
across	adv|n|prep
act	adv|n|v
acting	adj|n|v
action	adj|interj|n|v
actions	n|v
activate	v
active	adj|n
actively	adv
activities	n
activity	n
actor	n
actress	n
actual	adj|n
actually	adv|interj
actuarial	adj
actuate	v
acuity	n
acumen	n
acupuncture	n|v
acute	adj|n|v
ad	adj|adv|n|prep
adage	n
adamant	adj|n
adapt	adj|v
adaptable	adj
adaptation	n
adaptive	adj
add	n|v
addendum	n
addict	adj|n|v
addicted	adj|v
addictive	adj|n
addition	n
additional	adj|n
additive	adj|n
addle	adj|n|v
address	n|v
adduce	v
adept	adj|n
adequate	adj|det|v
adhere	v
adherence	n
adherent	adj|n
adhesive	adj|n
adjacent	adj|n|prep
adjective	adj|n|v
adjoin	v
adjoining	adj|v
adjourn	v
adjudicate	v
adjunct	adj|n|v
adjust	v
adjustable	adj|n
adjustment	n
adlib	n|v
administer	v
administrate	v
administration	n
administrative	adj
administrator	n
admirable	adj
admiration	n
admire	n|v
admission	n
admit	v
admittedly	adv
admonish	v
adobe	n
adolescence	n
adolescent	adj|n
adopt	n|v
adoption	n
adore	v
adorn	adj|n|v
adornment	n
adroit	adj
adulate	v
adult	adj|n|v
adulterate	adj|v
adulteration	n
adults	n|v
adumbrate	v
advance	adj|n|v
advanced	adj|v
advancement	n
advantage	n|v
advantageous	adj
advantages	n|v
advent	n|v
adventitious	adj
adventure	n|v
adventurer	n
adventurous	adj
adverb	n|v
adverse	adj
adversely	adv
adversity	n
advert	n|v
advertise	v
advertisement	n
advertisements	n
advertising	n|v
advice	n|v
advisable	adj
advise	n|v
advocacy	n
advocate	n|v
aegis	n
aerate	v
aerial	adj|n
aerodynamics	n
aeronautics	n
aeroplane	n|v
aerospace	adj|n
aesthete	n
aesthetic	adj|n
aesthetical	adj
affable	adj
affair	n
affairs	n
affect	n|v
affectation	n
affected	adj|n|v
affection	n|v
affectionate	adj|v
affective	adj
affidavit	n|v
affiliate	n|v
affiliation	n
affinity	n
affirm	interj|v
affix	n|v
afflict	v
affliction	n
affluence	n
affluent	adj|n
afford	v
affordable	adj
affront	n|v
afraid	adj
africa	n
african	adj|n
after	adj|adv|conj|n|prep
aftermath	n
afternoon	adv|interj|n
afterward	adv
again	adv|prep
against	conj|prep
agape	adj|adv|n
age	n|v
aged	adj|n|v
agencies	n
agency	n
agenda	n
agent	n
agglomerate	adj|n|v
aggrandize	v
aggravate	adj|v
aggravating	adj|v
aggregate	adj|n|v
aggregation	n
aggression	n
aggressive	adj|n
aggressiveness	n
aggressor	n
aggrieve	v
aghast	adj
agile	adj|n
agility	n
agitate	v
agitated	adj|v
agitation	n
aglow	adj
agnostic	adj|n
ago	adj|n
agog	adj|adv
agonize	v
agony	n
agrarian	adj|n
agree	v
agreeable	adj|n
agreement	n
agricultural	adj|n
agriculture	n
agronomy	n
ahead	adv
aid	n|v
aids	adj|n|v
ail	adj|n|v
ailment	n
aim	n|v
air	n|v
airborne	adj|n
aircraft	n
airline	n
airmail	n|v
airplane	n|v
airport	n
airsickness	n
airspace	n
airtight	adj
aisle	n
ajar	adj|adv|n|v
akin	adj|n|v
alabaster	adj|n
alacrity	n
alarm	n|v
alas	interj|n
alaska	n
albeit	conj
albino	adj|n
album	n
alchemy	n
alcohol	n
alcoholic	adj|n
alcove	n
alder	n
alert	adj|n|v
algae	n
algebra	n
alias	adv|n|v
alibi	n|v
alien	adj|n|v
alienate	adj|n|v
alight	adj|adv|v
align	v
alignment	n
alike	adj|adv|n
alimentary	adj
alive	adj
alkali	n
all	adj|adv|conj|det|n|pron
allay	n|v
allegation	n
allege	v
allegiance	n
allegory	n|v
allergic	adj|n
allergy	n
alleviate	v
alley	n
alliance	n|v
allied	adj|v
alligator	interj|n|v
alliterate	v
alliteration	n
allocate	adj|n|v
allot	adv|n|v
allow	v
allowance	n|v
alloy	n|v
allude	v
allure	n|v
alluring	adj|n|v
allusion	n
ally	n|v
almond	adj|n
almost	adv|n
alms	n
aloft	adv
alone	adj|adv
along	adv|prep
alongside	adv|prep
aloof	adj|adv|prep
aloud	adj|adv
alphabet	n|v
alphabetical	adj|n
already	adv
also	adv|conj
alter	n|v
alteration	n
alternate	adj|n|v
alternately	adv
alternation	n
alternative	adj|n
although	conj
altitude	n
altogether	adv|n
altruism	n
altruistic	adj
aluminium	n
aluminum	n
